Parent,Parent_Qa
2080076,688
2079769,640
4174304,1662
2079060,16330
2077578,440
4164918,395
2087033,11.8
4175009,7855
2086762,32.6
2087114,18
2087121,39
2087237,27.2
2087094,190.5
2136904,140.8
2143387,17226
2143386,15010.578
2134731,270
2143358,896
2143585,3629
2136551,7258
2135206,1140.4
2135988,356
2136940,8
2136421,80
2136745,618.0291667
2136831,640
2137070,843
2136236,376.1916667
2135216,4381
2136777,252
2212554,50
2213513,402
2213867,280
2212616,224
4189146,45
2223049,227.5
2220991,10887.75
2214805,3629.25
4189152,100
2214199,14517
2277373,63
2277366,292
2276761,83
2276896,0.3
2275832,3620
2275516,181.4625
4152029,943.605
2133647,144.3333333
2077552,83.23
4156927,285
2079950,417.68
2078119,8000
4192182,508.095
4192193,508.095
2214652,25404.75
2214665,21775.5
2214628,10
2214684,0.5
2214692,10024.71435
2214454,362.925
2214307,551.646
2214572,2903.4
2214636,27.2
2214697,52.9
2214323,1451.7
2214565,4
2214364,2.3
2213850,6
2213366,2.68
2214042,2
2214140,726
2214555,0.5
2214223,10
2212771,20
2214597,40
2213741,23
2214359,7206
4232640,200
2213608,10
4193766,602455.5
4193779,10887.75
4193789,54438.75
2214455,140
2213356,3.2
2212663,50
2214065,435.51
2214826,543
4193856,543
2213510,10
2214528,25
2213992,12
2214349,50
2212743,21775.5
2212760,10887.75
2213007,16
2214182,20
2213115,10.8
2078420,110
2213630,23
2213509,48.6375
2210975,276
2214537,160
2214547,1.25
2213066,70
2212044,120
2213877,18
2214430,1.5
2211354,2417.0805
2213459,10
2213245,290.34
2214686,108877.5
2214700,6
2213627,12
2214292,2
2213089,16
2212877,32
2211788,144
2214211,34.5
2214535,1104
2213498,60
2213205,10
2211868,2.5
2212178,0.8
2213767,100
2213598,30
2212506,40
2212156,32
2211940,200
2214213,14
2214216,200
2211031,74.13478261
2211034,74.13478261
2213326,80
2214159,100
2213409,300
2213659,40
2211521,29034
2212944,29034
2214110,80
2210106,13065.3
2209365,160
2214054,0.25
4192421,16694.55
2210077,3629.25
2212181,0.4
2213997,200
2211024,741.3478261
2213690,40
2213634,14
2212981,0.4
2212674,0.2
2212646,0.5
2138999,178
2214682,1
2214276,275
2212341,44
2213370,20
2211670,0.4
2213889,4
2211476,40
2213561,40
2213613,17
2211985,6.4
2212678,1088.775
2214178,8
2214785,60
2214022,217.755
2214023,2540.475
2213335,60
2213285,6
2213990,2
2214352,60
2212679,2903.4
2134821,45
4188633,93
2079820,36.6
2133862,1
2136829,500
2136209,106.0436441
2135218,640
2136546,84.03225807
2136707,143.7428571
2135766,1.2
2136926,80.61250001
2137109,53.74166667
2137108,107.4833333
2137107,317.7476042
2137087,32.245
2136727,188.0958333
2136872,204.2183333
2136417,0.4
2136767,21049.65
2136775,10887.75
2134985,27.14285714
2136862,133.7142857
2136481,55.35
2136725,100.2857143
2136717,133.7142857
2136877,50.14285715
2137061,50.14285715
2136668,66.85714286
2136870,10.02857143
2136407,97.7443609
2137077,670.5263158
2095504,306.5
2095507,226
2137099,23.45864662
2135701,120
2135704,27
2135688,85.5
2135691,90
2133298,16.6
4188263,68.42105263
2136503,210
2136406,120
2136929,18
2133243,0.5
2136857,300
2136395,300
2136730,120
2136457,160
2136550,80
2136618,160
2144921,1112
2136030,25
2136658,322.3098214
2136634,358.1220238
4252131,359.8913044
2136789,433.3276488
2136890,307.9849405
2136667,214.8732143
2136410,173.6891815
2137062,480
2234525,16
2277830,25.10526316
2277994,14.517
2277840,1.725
2277828,80
2277714,6
2277919,780
2277506,1.2
2277838,12
2276680,13
2277342,20
2255105,300
2277720,1237
2277901,177.9324193
2276760,0.5
2278038,72.585
2277132,10
2276713,70
2277367,8
2277898,40
2276224,6.4
2277153,0.125
2277582,5
2276256,100.8895161
2277093,435.51
2276137,275.823
2275814,0.5
2275860,120
2277883,1.2
2276712,200
2277275,5
2275960,1.2
2277514,73.37419354
2276651,23.8466129
2276438,0.5
2277800,73.37419354
2277702,40
2277804,1
4268337,1
2276451,12.5
2277286,99.09
2276823,0.5
2277178,0.25
2277251,2
2276887,50
2277113,1.2
2277421,30
2275617,1870
2277829,8
2277295,0.5
2276428,4
2277630,1.2
2276939,175.6
2277711,10887.75
2276685,6.9
2276913,80
2277693,2177.55
2276434,240
2275021,7.2
2277154,0.5
2277807,16
2277562,1
2277574,1
2275314,725.85
2276746,10
2276191,40
2275161,2.5
2276757,61.05
2276804,1
2275222,1.6
2277990,1
2274189,16230.006
2277691,6
2276961,4
2277496,10887.75
2277018,91.71774193
2274298,5000
2276207,33.01838709
2275519,14517
2221016,2177.55
2087157,5484.2
2081613,250
4445393,24
2214631,21775.5
2143208,40
2272546,1451.7
2272364,399.2175
2272824,5806.8
2213037,25
2213525,0.5
2221578,120
2136183,531
4158239,40000
2087053,119.5
2087013,12.8
2214787,600
2078696,3216
4670139,3739
2214243,120
2213655,0.4
